Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
28916,"C.C.Parquesur-Est.El Carrascal, 28916 Leganés, Madrid, Spain",28074.00437.01.01,Leganés,436679,JCDecaux - ES,['outdoor.urban_panels'],40.3372765,-3.7381682,ES
28013,"Pl. del Carmen, 1, 28013 Madrid, Spain",hq1QV:275973956,Madrid,304015.7143,TuMedio Spain,['retail.parking_garages'],40.4185225,-3.7034671,ES
50018,"N-330, 50018 Zaragoza, Spain",ES-ZAR-DD-01085.D1.01,Zaragoza,792158,JCDecaux - ES,['outdoor.urban_panels'],41.6628634,-0.8887192,ES
35002,"C. San Nicolás, 14, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",ES-LPG-DD-00016.D1.01,Las Palmas de Gran Canaria,83479,JCDecaux - ES,['outdoor.urban_panels'],28.1020991,-15.4174662,ES
28046,"P.º de la Castellana, 28046 Madrid, Spain",28079.04231.01.03,Madrid,1300115,JCDecaux - ES,['outdoor.urban_panels'],40.4454089,-3.691457,ES
28224,"Pºconcepción-pza.constitución, 28224 Pozuelo de Alarcón, Madrid, Spain",ES-POZ-DD-00012.D1.01,Pozuelo de Alarcón,65558,JCDecaux - ES,['outdoor.urban_panels'],40.4494309,-3.8053785,ES
28046,"C. de Agustín de Foxá, 28046 Madrid, Spain",28079.10006.01.03,Madrid,896940,JCDecaux - ES,['outdoor.urban_panels'],40.4666017,-3.6887595,ES
28660,"Av. Siglo XXI, 2, 28660 Boadilla del Monte, Madrid, Spain",ES-BDL-DD-00001.D1.02,Boadilla del Monte,78238,JCDecaux - ES,['outdoor.urban_panels'],40.4054852,-3.8922141,ES
50001,"Pl. de San Miguel, N°3, Planta 1, Oficina B, 50001 Zaragoza, Spain",ES-ZAR-AB-01034.D1.01,Zaragoza,105551,JCDecaux - ES,['outdoor.urban_panels'],41.6499329,-0.8760193,ES
50001,"Pl. de San Miguel, N°3, Planta 1, Oficina B, 50001 Zaragoza, Spain",ES-ZAR-AB-01034.D2.02,Zaragoza,105551,JCDecaux - ES,['outdoor.urban_panels'],41.6499329,-0.8760193,ES
