Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
28221,"C.C. Monte del Pilar, Av. Principe de Asturias, 28221 Majadahonda, Madrid, Spain",broadsign.com:879026500,Majadahonda,109147.5,Clear Channel Spain,['outdoor.bus_shelters'],404.692.708,-38.538.249,ES
28221,"C.C. Monte del Pilar, Av. Principe de Asturias, 28221 Majadahonda, Madrid, Spain",com.broadsign:baef2b76-daac-428f-bb46-5e5f3cfc7ac1,Majadahonda,1091178.0,Clear Channel Spain,['outdoor.bus_shelters'],404.692.708,-38.538.249,ES
28221,"C.C. Monte del Pilar, Av. Principe de Asturias, 28221 Majadahonda, Madrid, Spain",com.broadsign:acecca3b-ffc8-44ae-91e4-5acebf38e640,Majadahonda,1263289.5,Clear Channel Spain,['outdoor.bus_shelters'],404.692.708,-38.538.249,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:326776379,Madrid,45810.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:337985353,Madrid,49144.5,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:172559900,Madrid,25177.5,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:172560294,Madrid,25182.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:172560378,Madrid,52857.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:172559867,Madrid,9486.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:9250c8e5-e1de-4955-8e33-3d8f494544f1,Madrid,528412.5,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:06533f81-57d7-4714-8a9d-2a3adb1b14fb,Madrid,491305.5,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:5026f3af-1ca5-4f0f-b6e9-cb83e3ca7bef,Madrid,457956.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:fef19c8b-35e8-4473-9d18-c3e077dbef2d,Madrid,251739.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:0355e53c-948d-4ef4-94ce-b0c41801941e,Madrid,474174.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:7ca0a9d8-3eeb-4a91-968d-412499c9ea6d,Madrid,490990.5,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:9202c583-c1f1-41d6-b1ef-2b82bf57e024,Madrid,251712.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",com.broadsign:2935b1a9-93b4-4c42-9b9b-beda4240f14e,Madrid,94815.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:172560080,Madrid,47430.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28043,"Gran Vía de Hortaleza, S/N, 28043 Madrid, Spain",broadsign.com:172560056,Madrid,49113.0,Clear Channel Spain,['retail.malls'],4.046.955.639.999.990,-36.408.799,ES
28042,"Av. de Logroño, 120, 28042 Madrid, Spain",broadsign.com:162597648,Madrid,120312.0,Clear Channel Spain,['outdoor.urban_panels'],40.471.663,-3.581.417.699.999.990,ES
28042,"Av. de Logroño, 120, 28042 Madrid, Spain",com.broadsign:32b22bd0-060e-4803-a089-6887bc411f8f,Madrid,1202773.5,Clear Channel Spain,['outdoor.urban_panels'],40.471.663,-3.581.417.699.999.990,ES
28220,"Av. España, 6, 28220 Majadahonda, Madrid, Spain",broadsign.com:881751975,Majadahonda,86508.0,Clear Channel Spain,['outdoor.bus_shelters'],404.720.574,-3.867.922.899.999.990,ES
28220,"Av. España, 6, 28220 Majadahonda, Madrid, Spain",com.broadsign:bf372073-c306-4658-a046-f596e220da1c,Majadahonda,864846.0,Clear Channel Spain,['outdoor.bus_shelters'],404.720.574,-3.867.922.899.999.990,ES
28036,"Av. de Pío XII, 106, 28036 Madrid, Spain",com.broadsign:675cac53-ea3a-4b3d-8b6f-7badb91e135a,Madrid,4094172.0,Clear Channel Spain,['outdoor.urban_panels'],404.736.013,-36.776.741,ES
28036,"Av. de Pío XII, 106, 28036 Madrid, Spain",broadsign.com:162597806,Madrid,409527.0,Clear Channel Spain,['outdoor.urban_panels'],404.736.013,-36.776.741,ES
28221,"C. Mavi-Deli, 1, 28221 Majadahonda, Madrid, Spain",broadsign.com:879022696,Majadahonda,62757.0,Clear Channel Spain,['outdoor.bus_shelters'],40.473.766,-38.669.835,ES
