Zipcode,Frame id,Full address,Name,City,Monthly impressions,Publisher,Type,Subtype,Venue types,SSP,Media,Screen,Latitude,Longitude,Administrative level 1,Administrative level 2,Country,Frame resolution,Min duration,Max duration
31002,ES-PAM-DD-08011.D1.01,"Av. San Ignacio, 16, 31002 Pamplona, Navarra, Spain",Frame Alone,Pamplona,290841.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.281.308,-1.642.919,NC,NA,ES,1080x1920,,10.0
31002,ES-PAM-DD-08037.D1.01,"C. de Aralar, 13, 31002 Pamplona, Navarra, Spain",Frame Alone,Pamplona,180174.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.138.186,-16.354.918,NC,NA,ES,1080x1920,,10.0
31002,ES-PAM-DD-08038.D1.01,"C. de Estella, 7, 31002 Pamplona, Navarra, Spain",Frame Alone,Pamplona,51025.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.141.409,-16.444.925,NC,NA,ES,1080x1920,,10.0
31011,ES-PAM-DD-08015.D1.01,"Av. de Pío XII, 31011 Pamplona, Navarra, Spain",Frame Alone,Pamplona,154428.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.144.841,-16.527.821,NC,NA,ES,1080x1920,,10.0
31011,ES-PAM-DD-08009.D1.01,"Av. de Bayona, 30, 31011 Pamplona, Navarra, Spain",Frame Alone,Pamplona,138671.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.144.107,-16.598.287,NC,NA,ES,1080x1920,,10.0
31011,ES-PAM-DD-08052.D1.01,"Pl. Juan XXIII, 1, 31011 Pamplona, Navarra, Spain",Frame Alone,Pamplona,162507.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,42.814.726,-16.548.381,NC,NA,ES,1080x1920,,10.0
31002,ES-PAM-DD-08012.D1.01,"C. Marqués de Rozalejo, 1, 31002 Pamplona, Navarra, Spain",Frame Alone,Pamplona,108327.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.148.573,-16.469.953,NC,NA,ES,1080x1920,,10.0
31011,ES-PAM-DD-08039.D1.01,"Av. de Pío XII, 31011 Pamplona, Navarra, Spain",Frame Alone,Pamplona,33916.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.155.581,-16.513.546,NC,NA,ES,1080x1920,,10.0
31011,ES-PAM-DD-08046.D1.01,"C/ Monasterio de Irache, 20, 31011 Pamplona, Navarra, Spain",Frame Alone,Pamplona,56252.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.281.795,-16.590.346,NC,NA,ES,1080x1920,,10.0
26009,ES-LOG-DD-00020.D1.01,"Las Norias, 26009, 26009 Logroño, La Rioja, Spain",Frame Alone,Logroño,19144.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,424.743.132,-24.540.908,RI,LO,ES,1080x1920,,10.0
