Zipcode,Full address,Frame id,City,Publisher,Venue types
28034,"C. del Retablo de Melisendra, 1, Fuencarral-El Pardo, 28034 Madrid, Spain",ES-MMA-DD-09006.D1.01,Madrid,JCDecaux - ES,['transit.subway']
28050,"609 - Metro Ronda de la Comunicación, Fuencarral-El Pardo, 28050 Madrid, Spain",ES-MMA-DD-09003.D1.01,Madrid,JCDecaux - ES,['transit.subway']
28050,"609 - Metro Ronda de la Comunicación, Fuencarral-El Pardo, 28050 Madrid, Spain",ES-MMA-DD-09004.D1.01,Madrid,JCDecaux - ES,['transit.subway']
29004,"C. Villanueva del Rosario, 13, Carretera de Cádiz, 29004 Málaga, Spain",ES-MAL-DD-01070.D1.01,Málaga,JCDecaux - ES,['outdoor.urban_panels']
29001,"C. Córdoba, 2201, Distrito Centro, 29001 Málaga, Spain",ES-MAL-DD-01082.D1.01,Málaga,JCDecaux - ES,['outdoor.urban_panels']
29007,"Avda. de Andalucía - Hacienda, Distrito Centro, 29007 Málaga, Spain",ES-MAL-DD-01083.D2.02,Málaga,JCDecaux - ES,['outdoor.urban_panels']
29007,"Avda. de Andalucía - Hacienda, Distrito Centro, 29007 Málaga, Spain",ES-MAL-DD-01083.D1.01,Málaga,JCDecaux - ES,['outdoor.urban_panels']
03003,"Calle Poeta Vila y Blanco, 1, 03003 Alicante (Alacant), Alicante, Spain",03014.00719.01.01,Alicante (Alacant),JCDecaux - ES,['outdoor.urban_panels']
03001,"Av. de Federico Soto, 14, 03001 Alicante (Alacant), Alicante, Spain",03014.00718.01.01,Alicante (Alacant),JCDecaux - ES,['outdoor.urban_panels']
03001,"C. de Ángel Lozano, 18, 03001 Alicante (Alacant), Alicante, Spain",03014.00717.01.01,Alicante (Alacant),JCDecaux - ES,['outdoor.urban_panels']
46013,"Pont l'Assut de l'Or, Quatre Carreres, 46013 València, Valencia, Spain",ES-VAL-DD-00508.D1.01,València,JCDecaux - ES,['outdoor.urban_panels']
46960,"FG96+HW Aldaia, Spain",46021.00027.01.01,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FG96+HW Aldaia, Spain",46021.00027.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"Arrabal Z.Valor 01-Comercial, 9, 46960 Aldaya, Valencia, Spain",46021.00028.01.01,Aldaya,JCDecaux - ES,['retail.malls']
50006,"P.º de Fernando el Católico, 29, 50006 Zaragoza, Spain",ES-ZAR-DD-01027.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
46960,"C. Centro Comercial Bonaire, 472, 46960 Aldaya, Valencia, Spain",46021.00024.01.05,Aldaya,JCDecaux - ES,['retail.malls']
46960,"FGC6+7M Aldaia, Spain",46021.00020.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"A-3, 345, 46960 Aldaya, Valencia, Spain",46021.00015.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"A-3, 345, 46960 Aldaya, Valencia, Spain",46021.00014.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"C. Centro Comercial Bonaire, 472, 46960 Aldaya, Valencia, Spain",46021.00022.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"C. Centro Comercial Bonaire, 472, 46960 Aldaya, Valencia, Spain",46021.00013.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"FGC6+8P Aldaia, Spain",46021.00021.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"C. Centro Comercial Bonaire, 472, 46960 Aldaya, Valencia, Spain",46021.00012.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"FGC6+CV Aldaia, Spain",46021.00016.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"C. Centro Comercial Bonaire, 146, 46960 Aldaya, Valencia, Spain",46021.00007.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"C. Centro Comercial Bonaire, 146, 46960 Aldaya, Valencia, Spain",46021.00008.01.02,Aldaya,JCDecaux - ES,['retail.malls']
46960,"FGC6+HJ Aldaia, Spain",46021.00025.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+M4 Aldaia, Spain",46021.00011.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+M4 Aldaia, Spain",46021.00010.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+PX Aldaia, Spain",46021.00018.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+PX Aldaia, Spain",46021.00019.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+PX Aldaia, Spain",46021.00017.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+Q5 Aldaia, Spain",46021.00009.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+QQ Aldaia, Spain",46021.00026.01.04,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+QQ Aldaia, Spain",46021.00026.01.03,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+Q5 Aldaia, Spain",46021.00006.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+VF Aldaia, Spain",46021.00005.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGC6+VF Aldaia, Spain",46021.00004.01.02,Aldaia,JCDecaux - ES,['retail.malls']
46960,"FGF6+29 Aldaia, Spain",46021.00023.01.02,Aldaia,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916, Madrid, Spain",28074.00413.01.02,,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916, Madrid, Spain",28074.00412.01.02,,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00411.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00410.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Desconocido, 1, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00011.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Desconocido, 1, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00016.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Desconocido, 1, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00016.D1.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00423.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00009.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00405.01.04,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00405.01.03,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00008.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00007.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00015.D1.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00015.D2.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00006.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00005.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00407.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 13, 28916 Leganés, Madrid, Spain",ES-CPS-DD-00010.D2.01,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00408.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00409.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00417.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00416.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Aparcamiento Subterráneo, 28916, Madrid, Spain",28074.00403.01.03,,JCDecaux - ES,['retail.malls']
28916,"Aparcamiento Subterráneo, 28916, Madrid, Spain",28074.00403.01.04,,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00415.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00406.01.04,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916 Leganés, Madrid, Spain",28074.00406.01.03,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. de Gran Bretaña, 1, 28916 Leganés, Madrid, Spain",28074.00414.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Av. gran bretaña, 6, 28916 Leganés, Madrid, Spain",28074.00428.01.02,Leganés,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916, Madrid, Spain",28074.00404.01.04,,JCDecaux - ES,['retail.malls']
28916,"Vía sin nombre, 28916, Madrid, Spain",28074.00404.01.03,,JCDecaux - ES,['retail.malls']
28222,"C. Moreras, 2, 28222 Majadahonda, Madrid, Spain",28080.00008.01.02,Majadahonda,JCDecaux - ES,['retail.malls']
28222,"C. Moreras, 2, C.C. Centro Oeste, 28222 Majadahonda, Madrid, Spain",28080.00009.01.02,Majadahonda,JCDecaux - ES,['retail.malls']
28222,"C. Moreras, 2, 28222 Majadahonda, Madrid, Spain",28080.00005.01.02,Majadahonda,JCDecaux - ES,['retail.malls']
28222,"Calle de las Moreras, 2 Centro Comercial Centro Oeste, Pol. Ind. el Carralero, 28222 Majadahonda, Madrid, Spain",28080.00006.01.02,Majadahonda,JCDecaux - ES,['retail.malls']
50006,"Av. Fco. de Goya, 30, 50006 Zaragoza, Spain",ES-ZAR-DD-01017.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
28222,"C. Moreras, 2, 28222 Majadahonda, Madrid, Spain",28080.00007.01.02,Majadahonda,JCDecaux - ES,['retail.malls']
08030,"C/ de Potosí, 2, Local B100, San Andrés de Palomar, 08030 Barcelona, Spain",08019.05685.01.04,Barcelona,JCDecaux - ES,['retail.malls']
08030,"C/ de Potosí, 2, Local B100, San Andrés de Palomar, 08030 Barcelona, Spain",08019.05685.01.03,Barcelona,JCDecaux - ES,['retail.malls']
08030,"C/ de Potosí, 2, Sant Andreu, 08030 Barcelona, Spain",08019.05684.02.04,Barcelona,JCDecaux - ES,['retail.malls']
08030,"C/ de Potosí, 2, Sant Andreu, 08030 Barcelona, Spain",08019.05684.02.03,Barcelona,JCDecaux - ES,['retail.malls']
50009,"Z-30, 13, Casablanca, 50009 Zaragoza, Spain",ES-ZAR-DD-01170.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"Pl. de Basilio Paraíso, 1, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01116.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"Pl. de Basilio Paraíso, 1, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01116.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50006,"C. de Juan Pablo Bonet, 13, 50006 Zaragoza, Spain",ES-ZAR-DD-01177.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
47006,"C. del Puente Colgante, 38, 47006 Valladolid, Spain",ES-VLL-DD-01021.D2.02,Valladolid,JCDecaux - ES,['outdoor.urban_panels']
47006,"C. del Puente Colgante, 38, 47006 Valladolid, Spain",ES-VLL-DD-01021.D1.01,Valladolid,JCDecaux - ES,['outdoor.urban_panels']
50009,"Av. de Gómez Laguna, 43, 50009 Zaragoza, Spain",ES-ZAR-DD-01190.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50009,"Av. de Juan Pablo II, 27, 50009 Zaragoza, Spain",ES-ZAR-DD-01180.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50005,"Gran Vía Santiago Ramón y Cajal, 46, 50005 Zaragoza, Spain",ES-ZAR-DD-01016.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50008,"P. de Sagasta, Pl. de Basilio Paraíso, 14, 50008 Zaragoza, Spain",ES-ZAR-DD-01106.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50008,"P. de Sagasta, Pl. de Basilio Paraíso, 14, 50008 Zaragoza, Spain",ES-ZAR-DD-01106.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50008,"P.º de las Damas, s/n, 50008 Zaragoza, Spain",ES-ZAR-DD-01111.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50008,"P.º de las Damas, s/n, 50008 Zaragoza, Spain",ES-ZAR-DD-01111.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"Pl. de Basilio Paraíso, 2201, 50004 Zaragoza, Spain",ES-ZAR-DD-01031.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"Pl. de Basilio Paraíso, 2201, 50004 Zaragoza, Spain",ES-ZAR-DD-01031.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50008,"N-232, 10, 50008 Zaragoza, Spain",ES-ZAR-DD-01158.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"Pl. de Aragón, 10, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01161.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"Pl. de Aragón, 10, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01161.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50001,"C. de Don Hernando de Aragón, 31, Casco Antiguo, 50001 Zaragoza, Spain",ES-ZAR-DD-01169.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"N-232, 4, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01150.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50012,"Z-30, 50012 Zaragoza, Spain",ES-ZAR-DD-01186.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50001,"P.º de la Independencia, Casco Antiguo, 50001 Zaragoza, Spain",ES-ZAR-DD-01110.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50001,"P.º de la Independencia, Casco Antiguo, 50001 Zaragoza, Spain",ES-ZAR-DD-01110.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"P.º de la Independencia, 28, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01107.D2.02,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"P.º de la Independencia, 28, Casco Antiguo, 50004 Zaragoza, Spain",ES-ZAR-DD-01107.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50001,"P.º de la Independencia, 38, Casco Antiguo, 50001 Zaragoza, Spain",ES-ZAR-AB-01006.D2.03,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50001,"P.º de la Independencia, 38, Casco Antiguo, 50001 Zaragoza, Spain",ES-ZAR-AB-01006.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
50004,"5ªB, P.º de María Agustín, 25 1, 50004 Zaragoza, Spain",ES-ZAR-DD-01127.D1.01,Zaragoza,JCDecaux - ES,['outdoor.urban_panels']
